ID,Price,Item title,Final URL,Image URL,Item subtitle,Availability
boktipset-julehoytlesing-for-voksne,NOK 100,Boktipset: julehøytlesing for voksne,https://www.hamar-kulturhus.no/arrangementer/boktipset-julehoytlesing-for-voksne/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/11/Juleillustrasjon_boktips_web_bildedx_jul.jpg,2. desember 2025,Gratis inngang
stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900,NOK 100,Stjernenatt – en julekonsert med Odd René Andersen,https://www.hamar-kulturhus.no/arrangementer/stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900/,https://mff.dx.no/171589.jpg,4. desember 2025,Få billetter igjen
lordagsbarn-trollefar-moter-julenissen-061220251200,NOK 100,Lørdagsbarn: Trollefar møter Julenissen,https://www.hamar-kulturhus.no/arrangementer/lordagsbarn-trollefar-moter-julenissen-061220251200/,https://mff.dx.no/181557.jpg,6. desember 2025,Ledige billetter
desemberstemninger-061220251900,NOK 100,Desemberstemninger,https://www.hamar-kulturhus.no/arrangementer/desemberstemninger-061220251900/,https://mff.dx.no/174439.jpg,6. desember 2025,Ledige billetter
darling-west-lights-juleturne-2025-091220251900,NOK 100,Darling West: Lights – Juleturné 2025,https://www.hamar-kulturhus.no/arrangementer/darling-west-lights-juleturne-2025-091220251900/,https://mff.dx.no/171038.jpg,9. desember 2025,Ledige billetter
sinikka-langeland-solo-111220251900,NOK 100,Sinikka Langeland solo,https://www.hamar-kulturhus.no/arrangementer/sinikka-langeland-solo-111220251900/,https://mff.dx.no/164763.jpg,11. desember 2025,Ledige billetter
emmas-jul-121220252000,NOK 100,Emmas jul,https://www.hamar-kulturhus.no/arrangementer/emmas-jul-121220252000/,https://mff.dx.no/179933.jpg,12. desember 2025,Få billetter igjen
lordagsbarn-jul-med-proysen-131220251200,NOK 100,Lørdagsbarn: Jul med Prøysen,https://www.hamar-kulturhus.no/arrangementer/lordagsbarn-jul-med-proysen-131220251200/,https://mff.dx.no/181952.jpg,13. desember 2025,Ledige billetter
jul-med-hedmarken-symfoniorkester-131220251800,NOK 100,Jul med Hedmarken Symfoniorkester,https://www.hamar-kulturhus.no/arrangementer/jul-med-hedmarken-symfoniorkester-131220251800/,https://mff.dx.no/179371.jpg,13. desember 2025,Ledige billetter
putti-plutti-pott-og-julenissens-skjegg-151220251630,NOK 100,Putti Plutti Pott og Julenissens skjegg,https://www.hamar-kulturhus.no/arrangementer/putti-plutti-pott-og-julenissens-skjegg-151220251630/,https://mff.dx.no/180824.jpg,Fra 14. desember 2025,Ledige billetter
oslo-gospel-choir-181220251900,NOK 100,Oslo Gospel Choir,https://www.hamar-kulturhus.no/arrangementer/oslo-gospel-choir-181220251900/,https://mff.dx.no/175218.jpg,18. desember 2025,Få billetter igjen
var-jul-191220252000,NOK 100,Vår jul,https://www.hamar-kulturhus.no/arrangementer/var-jul-191220252000/,https://mff.dx.no/171598.jpg,19. desember 2025,Få billetter igjen
christmas-with-nordic-tenors-201220251800,NOK 100,Christmas with Nordic Tenors,https://www.hamar-kulturhus.no/arrangementer/christmas-with-nordic-tenors-201220251800/,https://mff.dx.no/178870.jpg,20. desember 2025,Ledige billetter
melissa-horn-alene-med-gitar-310120262000,NOK 100,Melissa Horn – Alene med gitar,https://www.hamar-kulturhus.no/arrangementer/melissa-horn-alene-med-gitar-310120262000/,https://mff.dx.no/172829.jpg,31. januar 2026,Få billetter igjen
takk-for-livet-teater-innlandet-260320261900,NOK 100,Takk for livet – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/takk-for-livet-teater-innlandet-260320261900/,https://mff.dx.no/178602.png,Fra 5. februar 2026,Ledige billetter
beharie-070220262000,NOK 100,Beharie,https://www.hamar-kulturhus.no/arrangementer/beharie-070220262000/,https://mff.dx.no/180870.jpg,7. februar 2026,Ledige billetter
kings-queens-solheimkoret-080220261800,NOK 100,Kings & Queens – Solheimkoret,https://www.hamar-kulturhus.no/arrangementer/kings-queens-solheimkoret-080220261800/,https://mff.dx.no/174256.jpg,8. februar 2026,Ledige billetter
espen-lind-med-band-140220262000,NOK 100,Espen Lind med band,https://www.hamar-kulturhus.no/arrangementer/espen-lind-med-band-140220262000/,https://mff.dx.no/182732.jpg,14. februar 2026,Ledige billetter
laereren-riksteatret-190220261900,NOK 100,Læreren / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/laereren-riksteatret-190220261900/,https://mff.dx.no/178887.jpg,19. februar 2026,Ledige billetter
musical-stories-200220261900,NOK 100,Musical Stories,https://www.hamar-kulturhus.no/arrangementer/musical-stories-200220261900/,https://mff.dx.no/183596.jpg,20. februar 2026,Ledige billetter
anne-marit-jacobsen-alle-fugler-260220261900,NOK 100,Anne Marit Jacobsen – Alle Fugler,https://www.hamar-kulturhus.no/arrangementer/anne-marit-jacobsen-alle-fugler-260220261900/,https://mff.dx.no/182663.jpg,26. februar 2026,Ledige billetter
det-betales-50-arsjubileum-070320262000,NOK 100,Det Betales: 50-årsjubileum!,https://www.hamar-kulturhus.no/arrangementer/det-betales-50-arsjubileum-070320262000/,https://mff.dx.no/176989.jpg,7. mars 2026,Ledige billetter
trond-viggo-og-else-resten-av-livet-130320261900,NOK 100,Trond-Viggo og Else: Resten av livet,https://www.hamar-kulturhus.no/arrangementer/trond-viggo-og-else-resten-av-livet-130320261900/,https://mff.dx.no/174936.jpg,13. mars 2026,Få billetter igjen
harm-hegseth-10-ar-200320262130,NOK 100,Harm & Hegseth – 10 år!,https://www.hamar-kulturhus.no/arrangementer/harm-hegseth-10-ar-200320262130/,https://mff.dx.no/182264.jpg,20. mars 2026,Ledige billetter
lordagsmatine-trond-granlund-280320261400,NOK 100,Lørdagsmatiné: Trond Granlund,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-trond-granlund-280320261400/,https://mff.dx.no/176625.jpg,28. mars 2026,Ledige billetter
lordagsmatine-erik-bye-i-100-110420261400,NOK 100,Lørdagsmatiné: Erik Bye i 100,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-erik-bye-i-100-110420261400/,https://mff.dx.no/183413.jpg,11. april 2026,Ledige billetter
hamlet-180420261900,NOK 100,Hamlet,https://www.hamar-kulturhus.no/arrangementer/hamlet-180420261900/,https://mff.dx.no/177969.jpg,18. april 2026,Ledige billetter
lordagsmatine-med-marit-sandvik-nova-onda-250420261400,NOK 100,Lørdagsmatiné med Marit Sandvik & Nova Onda,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-med-marit-sandvik-nova-onda-250420261400/,https://mff.dx.no/179218.jpg,25. april 2026,Ledige billetter
anne-kat-haerland-250420262000,NOK 100,Anne-Kat Hærland,https://www.hamar-kulturhus.no/arrangementer/anne-kat-haerland-250420262000/,https://mff.dx.no/177322.jpg,25. april 2026,Ledige billetter
kim-wigaard-260420261900,NOK 100,Kim Wigaard,https://www.hamar-kulturhus.no/arrangementer/kim-wigaard-260420261900/,https://mff.dx.no/177247.jpg,26. april 2026,Ledige billetter
skorpionens-spill-i-skyggen-av-roblox-riksteatret-090520261700,NOK 100,Skorpionens spill – I skyggen av Roblox / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/skorpionens-spill-i-skyggen-av-roblox-riksteatret-090520261700/,https://mff.dx.no/178883.jpg,9. mai 2026,Ledige billetter
tor-karseth-70-ar-hedmarkens-huspotet-260820262100,NOK 100,Tor Karseth 70 år – Hedmarkens huspo(t)et,https://www.hamar-kulturhus.no/arrangementer/tor-karseth-70-ar-hedmarkens-huspotet-260820262100/,https://mff.dx.no/180297.jpg,26. august 2026,Få billetter igjen
